[11-03-23 23:57:04.878] LOG  : General     , 1678579024878> 0> SapphCooking.BakingTray_Hotdog: DisplayCategory, FoodP.
[11-03-23 23:57:04.878] LOG  : General     , 1678579024878> 0> SapphCooking.WokPanwithFriedRice: DisplayCategory, FoodP.
[11-03-23 23:57:04.878] LOG  : General     , 1678579024878> 0> SapphCooking.SapphCutCheeseSandwich: DisplayCategory, FoodP.
[11-03-23 23:57:04.878] LOG  : General     , 1678579024878> 0> SapphCooking.SapphCutGrilledCheese: DisplayCategory, FoodP.
[11-03-23 23:57:04.878] LOG  : General     , 1678579024878> 0> SapphCooking.MeatballsCooked: DisplayCategory, FoodP.
[11-03-23 23:57:04.878] LOG  : General     , 1678579024878> 0> SapphCooking.MRE_InRiceMincedMeat: DisplayCategory, FoodP.
[11-03-23 23:57:04.878] LOG  : General     , 1678579024878> 0> SapphCooking.MRE_InBeefStrogonoff: DisplayCategory, FoodP.
[11-03-23 23:57:04.878] LOG  : General     , 1678579024878> 0> SapphCooking.MRE_BeefStew: DisplayCategory, FoodP.
[11-03-23 23:57:04.878] LOG  : General     , 1678579024878> 0> SapphCooking.MRE_PorkwRice: DisplayCategory, FoodP.
[11-03-23 23:57:04.878] LOG  : General     , 1678579024878> 0> SapphCooking.MRE_Spaguetti: DisplayCategory, FoodP.
[11-03-23 23:57:04.878] LOG  : General     , 1678579024878> 0> SapphCooking.MRE_OmeletwHam: DisplayCategory, FoodP.
[11-03-23 23:57:04.878] LOG  : General     , 1678579024878> 0> SapphCooking.MRE_SausageswGravy: DisplayCategory, FoodP.
[11-03-23 23:57:04.878] LOG  : General     , 1678579024878> 0> SapphCooking.MRE_CheeseTortellini: DisplayCategory, FoodP.
[11-03-23 23:57:04.878] LOG  : General     , 1678579024878> 0> SapphCooking.MRE_MeatballsinSauce: DisplayCategory, FoodP.
[11-03-23 23:57:04.878] LOG  : General     , 1678579024878> 0> SapphCooking.MRE_Lasagna: DisplayCategory, FoodP.
[11-03-23 23:57:04.878] LOG  : General     , 1678579024878> 0> SapphCooking.MRE_ChiliwBeans: DisplayCategory, FoodP.
[11-03-23 23:57:04.878] LOG  : General     , 1678579024878> 0> SapphCooking.PotofVegetableStockUncooked: DisplayCategory, FoodP.
[11-03-23 23:57:04.878] LOG  : General     , 1678579024878> 0> SapphCooking.WontonWrappersDough: DisplayCategory, FoodP.
[11-03-23 23:57:04.878] LOG  : General     , 1678579024878> 0> SapphCooking.WontonWrappers: DisplayCategory, FoodP.
[11-03-23 23:57:04.878] LOG  : General     , 1678579024878> 0> SapphCooking.DumplingsMeatUn: DisplayCategory, FoodP.
[11-03-23 23:57:04.878] LOG  : General     , 1678579024878> 0> SapphCooking.DumplingsMeatCooked: DisplayCategory, FoodP.
[11-03-23 23:57:04.878] LOG  : General     , 1678579024878> 0> SapphCooking.DumplingsVegetableUn: DisplayCategory, FoodP.
[11-03-23 23:57:04.878] LOG  : General     , 1678579024878> 0> SapphCooking.DumplingsVegetableCooked: DisplayCategory, FoodP.
[11-03-23 23:57:04.879] LOG  : General     , 1678579024878> 0> SapphCooking.WokPan_Yakisoba: DisplayCategory, FoodP.
[11-03-23 23:57:04.879] LOG  : General     , 1678579024879> 0> SapphCooking.BowlofYakisoba: DisplayCategory, FoodP.
[11-03-23 23:57:04.879] LOG  : General     , 1678579024879> 0> SapphCooking.WokPan_KungPaoChicken: DisplayCategory, FoodP.
[11-03-23 23:57:04.879] LOG  : General     , 1678579024879> 0> SapphCooking.BowlofKungPaoChicken: DisplayCategory, FoodP.
[11-03-23 23:57:04.879] LOG  : General     , 1678579024879> 0> SapphCooking.Saucepan_ShuiZhuYuUn: DisplayCategory, FoodP.
[11-03-23 23:57:04.879] LOG  : General     , 1678579024879> 0> SapphCooking.Saucepan_ShuiZhuYuCooked: DisplayCategory, FoodP.
[11-03-23 23:57:04.879] LOG  : General     , 1678579024879> 0> SapphCooking.BowlofShuiZhuYu: DisplayCategory, FoodP.
[11-03-23 23:57:04.879] LOG  : General     , 1678579024879> 0> SapphCooking.BowlofChili: DisplayCategory, FoodP.
[11-03-23 23:57:04.879] LOG  : General     , 1678579024879> 0> SapphCooking.RoastingpanwithRatatouilleUn: DisplayCategory, FoodP.
[11-03-23 23:57:04.879] LOG  : General     , 1678579024879> 0> SapphCooking.RoastingpanwithRatatouilleCooked: DisplayCategory, FoodP.
[11-03-23 23:57:04.879] LOG  : General     , 1678579024879> 0> SapphCooking.RatattouilePiece: DisplayCategory, FoodP.
[11-03-23 23:57:04.879] LOG  : General     , 1678579024879> 0> SapphCooking.CurryPowder: DisplayCategory, FoodP.
[11-03-23 23:57:04.879] LOG  : General     , 1678579024879> 0> SapphCooking.OpenCanofBeets: DisplayCategory, FoodP.
